Show Number,Air Date,Round,Category,Value,Question,Answer
3460,1999-09-24,Double Jeopardy!,CANADIAN TOURISM,$600,"Each year this British Columbia city hosts the Symphony of Fire, a 4-day fireworks extravaganza",Vancouver
4200,2002-11-29,Jeopardy!,I GET NO KICK FROM CAMPAIGN,$1000,"The only Republican presidential nominee to lose twice, his running mate the 2nd time was Earl Warren",Dewey
4605,2004-09-17,Double Jeopardy!,BRING OUT YOUR DEAD,$800,"The alternate title to the Anne Rice book ""Ramses the Damned"" mentions one of these previously buried folk",a mummy
6288,2012-01-11,Jeopardy!,CATHOLIC PRIESTS,$600,"The priest's duty to keep your sins secret is traditionally protected by ""the sanctity of"" this booth",the confessional
4083,2002-05-08,Double Jeopardy!,TOUGH GEOGRAPHY,$1600,This last colony in Africa shares part of its name with a desert & is claimed by Morocco,Western Sahara
3760,2000-12-29,Double Jeopardy!,START SAVING NOW,$400,"The ""Hope""ful, priceless object, seen here, is this type of gem",(the Hope) diamond
3234,1998-10-01,Jeopardy!,POTPOURRI,$500,Deneb is the brightest star in this constellation whose name means swan,Cygnus
5970,2010-07-23,Jeopardy!,IT'S A LONG WAY TO TIPPERARY,$200,"First, get yourself to New York, Chicago or Boston & hop on this Irish airline that first flew on May 27, 1936",Aer Lingus
5604,2009-01-08,Double Jeopardy!,IT'S A FACT,$400,It's the capital of Montana,Helena
3678,2000-09-06,Double Jeopardy!,PEA,"$1,500",He began monk-ing around with garden peas in 1856,Gregor Mendel
5668,2009-04-08,Double Jeopardy!,PRO CHEERLEADER SQUADS,$800,In the AFC East: The Flight Crew,the (New York) Jets
6191,2011-07-11,Double Jeopardy!,BORN & DIED,$2000,"Born in Germany in 1685, he tuned out April 14, 1759 in London",Handel
4256,2003-02-17,Double Jeopardy!,BAD NEWS,$400,"Hillsborough, a neutral stadium, was the site of a fatal 1989 stampede at this type of British sporting event",soccer match
5766,2009-10-12,Jeopardy!,ANAGRAMS INC.,$1000,You can bank on it: FLOWER GALS,Wells Fargo
4507,2004-03-23,Double Jeopardy!,NANA,$1600,"Puu Nana is a peak on this island, home to Hawaii's leprosy treatment center",Molokai
4764,2005-04-28,Double Jeopardy!,GEOLOGY,$1200,"This landmark in Rio's Guanabara Bay is an axample of an inselberg, or ""island mountain""",Sugar Loaf Mountain
6113,2011-03-23,Jeopardy!,FAMOUS PAIRS,$200,"Born just days apart in 1951, in 1976 they opened their first ice cream shop in a renovated gas station in Vermont",Ben & Jerry
4194,2002-11-21,Jeopardy!,POETS & POETRY,$600,"For writing the pamphlet ""The Necessity of Atheism"", this ""Ode to the West Wind"" poet was expelled from Oxford",Percy Shelley
3567,2000-02-22,Jeopardy!,"""K"" MART",$300,"In 1883 more than 36,000 died following an explosion on this volcanic Indonesian island",Krakatoa
4513,2004-03-31,Jeopardy!,ARCHAIC WORDS,$600,"What was once chiropody, the health field dealing with the feet, is now more commonly called this",podiatry
5393,2008-02-06,Double Jeopardy!,FAMOUS FATHERS,$400,"""The Father of the Declaration of Independence""",Thomas Jefferson
3282,1998-12-08,Final Jeopardy!,ORGANIZATIONS,None,"Now with over a hundred chapters, the March of Dimes was first established by this president",Franklin Delano Roosevelt
6065,2011-01-14,Double Jeopardy!,SHAKESPEARE'S TRAGIC ENDINGS,$2000,"Richmond kills the title king & ends this play saying, ""Peace lives again: that she may long live here, God say amen!""",Richard III
3015,1997-10-10,Double Jeopardy!,SPEARS,$1000,The British used these cavalry troops in the Sikh & Afghan Wars & to crush the Sepoy Rebellion,Bengal Lancers
6240,2011-11-04,Double Jeopardy!,"MAPMAKER, MAPMAKER","$2,000","However you draw the border between Nicaragua & this 2-named country, somebody gets mad, huh?",Costa Rica
5392,2008-02-05,Jeopardy!,"""TOO"" MUCH",$400,"It's a signal at night for soldiers to go to their quarters, or an indelible pattern drawn on the skin",a tattoo
5452,2008-04-29,Jeopardy!,"""B"" YOUR BEST",$200,"Yes, Bubbe, it's a headscarf worn by Russian women, or a term for a Russian grandmother",a babushka
3178,1998-05-27,Double Jeopardy!,FICTIONAL CHARACTERS,$200,Get too close to this beloved of Quasimodo & he might just ring your bell,Esmeralda
3984,2001-12-20,Jeopardy!,"A ""C.D."" CATEGORY",$400,"(<a href=""http://www.j-archive.com/media/2001-12-20_J_12.jpg"" target=""_blank"">Cheryl of the Clue Crew delivers the clue.</a>)  <a href=""http://www.j-archive.com/media/2001-12-20_J_12a.jpg"" target=""_blank"">This</a> is the spicy treat that fits the category",a chili dog
4196,2002-11-25,Double Jeopardy!,SPECIAL EFFECTS,$1600,5-letter word for an explosive used to lend realism to cinematic gunplay,squib
3236,1998-10-05,Jeopardy!,EX-BUNNIES,$500,"Working her way through college as ""Bunny Sue"", she's now working as Dharma's mother-in-law",Susan Sullivan
3740,2000-12-01,Jeopardy!,BOOKS OF THE BIBLE,$400,"""And when he opened the seventh seal, there was silence in heaven about the space of half an hour""",Revelation
4260,2003-02-21,Jeopardy!,AMERICAN CITIES,$600,The final draft of the U.S. Constitution was composed in this city in September 1787,Philadelphia
3154,1998-04-23,Double Jeopardy!,GOOD WILL SHAKESPEARE,$800,"In London, Shakespeare boarded with the Mountjoys, a family of these French Protestants",Huguenots
4886,2005-12-05,Jeopardy!,ART FOR ART'S SAKE,$800,"She's the Pennsylvania-born expatriate whose work is seen <a href=""http://www.j-archive.com/media/2005-12-05_J_16.jpg"" target=""_blank"">here</a>",(Mary) Cassatt
4331,2003-06-02,Double Jeopardy!,HAVE YOU HEARD THE WORD?,$2000,"The name of this cold, treeless region where reindeer thrive comes from a Russian word for ""flat-topped hill""",tundra
