,sentiment,content
0,worry,@tiffanylue i know  i was listenin to bad habit earlier and i started freakin at his part =[
1,sadness,Layin n bed with a headache  ughhhh...waitin on your call...
2,sadness,Funeral ceremony...gloomy friday...
3,enthusiasm,wants to hang out with friends SOON!
4,neutral,"@dannycastillo We want to trade with someone who has Houston tickets, but no one will."
5,worry,Re-pinging @ghostridah14: why didn't you go to prom? BC my bf didn't like my friends
6,sadness,"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!"
7,worry,Hmmm. http://www.djhero.com/ is down
8,sadness,@charviray Charlene my love. I miss you
9,sadness,@kelcouch I'm sorry  at least it's Friday?
10,neutral,cant fall asleep
11,worry,Choked on her retainers
12,sadness,Ugh! I have to beat this stupid song to get to the next  rude!
13,sadness,@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol
14,surprise,Got the news
15,sadness,The storm is here and the electricity is gone
16,love,@annarosekerr agreed
17,sadness,So sleepy again and it's not even that late. I fail once again.
18,worry,@PerezHilton lady gaga tweeted about not being impressed by her video leaking just so you know
19,sadness,How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend
20,worry,@raaaaaaek oh too bad! I hope it gets better. I've been having sleep issues lately too
21,fun,"Wondering why I'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore"
22,neutral,No Topic Maps talks at the Balisage Markup Conference 2009   Program online at http://tr.im/mL6Z (via @bobdc) #topicmaps
23,worry,I ate Something I don't know what it is... Why do I keep Telling things about food
24,sadness,so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.
25,worry,On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old
26,sadness,"@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!"
27,worry,Damm servers still down  i need to hit 80 before all the koxpers pass me
28,sadness,Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!
29,worry,I HATE CANCER. I HATE IT I HATE IT I HATE IT.
30,hate,It is so annoying when she starts typing on her computer in the middle of the night!
31,neutral,@cynthia_123 i cant sleep
32,neutral,I missed the bl***y bus!!!!!!!!
33,neutral,feels strong contractions but wants to go out.  http://plurk.com/p/wxidk
34,neutral,SoCal!  stoked. or maybe not.. tomorrow
35,neutral,Screw you @davidbrussee! I only have 3 weeks...
36,sadness,@ether_radio yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?
37,worry,I need skott right now
38,neutral,has work this afternoon
39,neutral,@GABBYiSACTiVE Aw you would not unfollow me would you? Then I would cry
40,happiness,mmm much better day... so far! it's still quite early. last day of #uds
41,fun,@DavidArchie &lt;3 your gonna be the first  twitter ;) cause your amazing lol. come to canada  would do anything to see you perform
42,worry,just picked up her Blackberry from the middle of the street! Both she and it are crushed!
43,worry,Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think I'm missing something...
44,empty,@creyes middle school and elem. High schools will remain open for those who need credits to graduate. Cali is broken
45,worry,"Bed!!!!!... its time,..... hope i go to school tomorrow, all though i don't feel very well right now"
46,worry,"@onscrn Ahh.  ... Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate things but also"
47,sadness,I'm having a problem with my photo here in twitter amf!!!...can't see my face!
48,neutral,"@jakeboyd, oh noooo!  if i blow a tire you're reaaaally going to have to send up some batman smoke."
49,neutral,wnna take a bath!!!!
50,neutral,Chocolate milk is so much better through a straw. I lack said straw
51,worry,why am i so tired?
52,empty,@djmicdamn hey yu lil fucker i textd yu
